                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4343,                 3.5415,                  3.164,                0.35852,                0.18921,                0.16566,                0.06719,                 2.4259,                 2.1067,                 1.8103,              0.0033292,              0.0033292,              0.0033292
                      2,                 2.3285,                 1.7229,                 1.6249,                0.59361,                0.29588,                0.31924,                0.14354,                  1.998,                 1.4035,                 1.4894,              0.0066405,              0.0066405,              0.0066405
                      3,                  2.057,                 1.4036,                 1.4184,                0.63682,                0.34412,                0.37357,                0.18026,                 1.8345,                 1.2363,                 1.3746,              0.0099299,              0.0099299,              0.0099299
                      4,                 1.9062,                 1.2329,                 1.3164,                 0.7177,                0.39063,                0.44648,                0.22069,                 1.7264,                 1.0507,                 1.2915,               0.009901,               0.009901,               0.009901
                      5,                 1.7923,                 1.1134,                 1.2597,                0.73843,                0.42299,                0.47959,                0.23981,                  1.646,                0.97356,                 1.2522,               0.009868,               0.009868,               0.009868
                      6,                 1.7306,                 1.0371,                 1.2238,                0.74917,                0.42657,                 0.4813,                0.24101,                 1.6178,                  0.921,                 1.2396,               0.009835,               0.009835,               0.009835
                      7,                 1.6795,                0.99907,                 1.2125,                0.76312,                0.45459,                0.51777,                 0.2642,                 1.5738,                 0.8805,                 1.2169,               0.009802,               0.009802,               0.009802
                      8,                 1.6514,                0.96838,                 1.2001,                0.76998,                0.46747,                 0.5362,                0.27473,                 1.5571,                0.84805,                 1.2009,               0.009769,               0.009769,               0.009769
                      9,                 1.6353,                0.93997,                 1.1829,                0.78151,                0.47836,                0.54475,                0.28047,                 1.5445,                0.82682,                 1.1986,               0.009736,               0.009736,               0.009736
                     10,                 1.6129,                0.92136,                 1.1761,                0.78298,                0.48134,                0.55125,                0.28579,                  1.511,                0.81231,                 1.1799,               0.009703,               0.009703,               0.009703
                     11,                 1.5921,                0.90518,                 1.1781,                0.78939,                0.48796,                0.56033,                0.28924,                 1.5086,                0.79894,                 1.1748,                0.00967,                0.00967,                0.00967
                     12,                 1.5763,                0.88955,                  1.168,                0.78557,                0.49336,                0.55876,                0.29059,                 1.4937,                0.79772,                 1.1707,               0.009637,               0.009637,               0.009637
                     13,                 1.5648,                0.87678,                 1.1573,                0.78805,                0.49666,                0.56421,                0.29338,                 1.4919,                0.76775,                  1.169,               0.009604,               0.009604,               0.009604
                     14,                 1.5615,                0.86825,                 1.1556,                0.78948,                0.49848,                0.56958,                0.29614,                 1.4807,                0.77204,                 1.1672,               0.009571,               0.009571,               0.009571
                     15,                 1.5596,                0.86469,                  1.153,                0.79373,                0.50652,                 0.5763,                0.29978,                 1.4744,                0.75818,                  1.161,               0.009538,               0.009538,               0.009538
                     16,                  1.544,                0.84892,                 1.1428,                0.80235,                0.51075,                0.58269,                0.30466,                 1.4626,                0.74927,                 1.1578,               0.009505,               0.009505,               0.009505
                     17,                 1.5376,                0.84243,                 1.1463,                0.79426,                0.50792,                0.57855,                0.30498,                  1.461,                0.74079,                 1.1533,               0.009472,               0.009472,               0.009472
