                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3794,                 3.4114,                 3.1865,                0.42266,                0.20088,                0.18788,                0.08052,                 2.2998,                 2.1076,                 1.8064,              0.0033292,              0.0033292,              0.0033292
                      2,                 2.1847,                 1.5227,                 1.5462,                0.65879,                0.32905,                0.37079,                0.17325,                 1.9064,                 1.1986,                 1.4181,              0.0066076,              0.0066076,              0.0066076
                      3,                 1.9122,                 1.2276,                 1.3348,                 0.6946,                0.37565,                0.42695,                0.21662,                 1.7193,                 1.0797,                 1.3055,              0.0098309,              0.0098309,              0.0098309
                      4,                 1.7614,                  1.069,                 1.2446,                 0.7712,                0.44275,                 0.5104,                0.25982,                 1.6188,                0.90262,                 1.2375,              0.0097525,              0.0097525,              0.0097525
                      5,                 1.6532,                0.95676,                  1.197,                0.78197,                 0.4868,                0.55193,                0.28598,                 1.5206,                0.82757,                 1.1933,                0.00967,                0.00967,                0.00967
                      6,                 1.5964,                0.89583,                 1.1682,                0.79967,                0.49874,                0.56965,                0.29776,                 1.4862,                0.78668,                 1.1748,              0.0095875,              0.0095875,              0.0095875
                      7,                 1.5505,                0.85954,                 1.1579,                0.79807,                0.52101,                0.58623,                0.30739,                 1.4695,                0.77724,                 1.1754,               0.009505,               0.009505,               0.009505
                      8,                 1.5266,                 0.8335,                  1.148,                 0.8133,                0.52506,                0.59888,                0.31726,                 1.4567,                0.73681,                 1.1611,              0.0094225,              0.0094225,              0.0094225
                      9,                 1.5121,                0.81041,                 1.1338,                0.82828,                0.53467,                0.61183,                0.32364,                 1.4398,                0.71637,                 1.1507,                0.00934,                0.00934,                0.00934
                     10,                 1.4913,                0.79269,                 1.1275,                0.82197,                0.54159,                0.62054,                 0.3289,                 1.4129,                0.70319,                   1.14,              0.0092575,              0.0092575,              0.0092575
                     11,                 1.4721,                0.78026,                 1.1294,                0.82931,                0.54858,                 0.6257,                0.33205,                 1.4092,                0.69118,                 1.1376,               0.009175,               0.009175,               0.009175
                     12,                 1.4553,                0.76583,                 1.1198,                0.82994,                0.55201,                0.62619,                0.33823,                 1.3924,                0.68131,                 1.1332,              0.0090925,              0.0090925,              0.0090925
                     13,                 1.4429,                0.75312,                 1.1114,                0.82334,                0.56035,                0.63011,                 0.3361,                 1.3956,                0.66419,                 1.1316,                0.00901,                0.00901,                0.00901
                     14,                 1.4423,                0.74411,                 1.1105,                0.83304,                0.56035,                0.63464,                0.33967,                 1.3905,                0.66285,                 1.1282,              0.0089275,              0.0089275,              0.0089275
                     15,                 1.4382,                0.74096,                 1.1077,                0.83591,                0.56633,                0.64406,                 0.3459,                 1.3834,                0.65712,                 1.1255,               0.008845,               0.008845,               0.008845
                     16,                 1.4212,                0.72437,                 1.0975,                0.83573,                0.56998,                0.64704,                0.35003,                 1.3691,                 0.6461,                 1.1216,              0.0087625,              0.0087625,              0.0087625
                     17,                 1.4129,                0.71892,                 1.1004,                0.83776,                0.56955,                0.64789,                0.34946,                 1.3683,                0.64099,                   1.12,                0.00868,                0.00868,                0.00868
                     18,                 1.4112,                0.71096,                 1.0953,                0.83945,                0.58236,                0.65879,                0.35925,                 1.3592,                0.62698,                 1.1152,              0.0085975,              0.0085975,              0.0085975
                     19,                 1.4034,                 0.7094,                 1.0924,                0.84233,                0.58253,                0.66018,                0.35718,                 1.3595,                0.63123,                 1.1164,               0.008515,               0.008515,               0.008515
                     20,                 1.4069,                0.70744,                 1.0927,                 0.8445,                0.58601,                0.66394,                0.36183,                 1.3519,                0.62243,                 1.1138,              0.0084325,              0.0084325,              0.0084325
                     21,                 1.3923,                0.69899,                 1.0912,                0.84718,                0.58488,                0.66526,                0.36338,                 1.3511,                  0.618,                 1.1107,                0.00835,                0.00835,                0.00835
                     22,                 1.3864,                0.69268,                 1.0873,                0.84539,                0.58861,                0.66569,                0.36223,                 1.3473,                0.61495,                 1.1073,              0.0082675,              0.0082675,              0.0082675
                     23,                 1.3841,                0.68729,                 1.0858,                0.84568,                0.58924,                0.66756,                0.36458,                 1.3433,                0.60641,                 1.1076,               0.008185,               0.008185,               0.008185
                     24,                 1.3903,                 0.6879,                 1.0813,                0.84642,                0.59045,                 0.6687,                0.36528,                 1.3354,                0.60497,                 1.1043,              0.0081025,              0.0081025,              0.0081025
                     25,                 1.3756,                0.68225,                 1.0785,                0.85231,                0.59282,                0.67396,                0.37158,                 1.3305,                0.59856,                 1.1036,                0.00802,                0.00802,                0.00802
